filename,status,set,number,fullName,imageField,sourceUrl,contentType
001 - 10 - Mad Hatter - Sinister Host.jpg,downloaded,1,10,Mad Hatter - Sinister Host,full,https://api.lorcana.ravensburger.com/images/en/quest1/10_55508e2923dd3a3143ef5be2896ac8ddfd0149f5.jpg,image/jpeg;charset=UTF-8
001 - 10 - Maximus - Palace Horse.jpg,downloaded,1,10,Maximus - Palace Horse,full,https://api.lorcana.ravensburger.com/images/en/set1/10_4d67a92c04456725f8167a0bd4ef9e7688ebfb15.jpg,image/jpeg;charset=UTF-8
001 - 10 - Mickey Mouse - True Friend.jpg,downloaded,1,10,Mickey Mouse - True Friend,full,https://api.lorcana.ravensburger.com/images/en/promo3/10_30d7e69546ef091cf5e4dd6197e36f298b174af0.jpg,image/jpeg;charset=UTF-8
001 - 10 - Yzma - Alchemist.jpg,downloaded,1,10,Yzma - Alchemist,full,https://api.lorcana.ravensburger.com/images/en/promo1/10_81055ce64f4d352feb1bed47f15e5b834cb87430.jpg,image/jpeg;charset=UTF-8
001 - 11 - Magica De Spell - Shadowy Sorceress.jpg,downloaded,1,11,Magica De Spell - Shadowy Sorceress,full,https://api.lorcana.ravensburger.com/images/en/quest1/11_10578d8c3101a05fcc78f32d98ed36baf58b865c.jpg,image/jpeg;charset=UTF-8
001 - 11 - Maximus - Relentless Pursuer.jpg,downloaded,1,11,Maximus - Relentless Pursuer,full,https://api.lorcana.ravensburger.com/images/en/set1/11_1fba564483f4871868283f8ef95ffad19329a28e.jpg,image/jpeg;charset=UTF-8
001 - 11 - Mickey Mouse - Musketeer.jpg,downloaded,1,11,Mickey Mouse - Musketeer,full,https://api.lorcana.ravensburger.com/images/en/promo1/11_7b94346ae8d8e842f5d576ec6dfd3a73e504b09c.jpg,image/jpeg;charset=UTF-8
001 - 12 - Goofy - Musketeer.jpg,downloaded,1,12,Goofy - Musketeer,full,https://api.lorcana.ravensburger.com/images/en/promo1/12_21ab1dbba3df2774f697fcd0c76fa9ae6abb55cf.jpg,image/jpeg;charset=UTF-8
001 - 12 - Mickey Mouse - True Friend.jpg,downloaded,1,12,Mickey Mouse - True Friend,full,https://api.lorcana.ravensburger.com/images/en/set1/12_da68c89ea3fc28a3a7396c30ab3da45e0f204eea.jpg,image/jpeg;charset=UTF-8
001 - 12 - Minnie Mouse - Wild-Eyed Diver.jpg,downloaded,1,12,Minnie Mouse - Wild-Eyed Diver,full,https://api.lorcana.ravensburger.com/images/en/quest1/12_dd3f802e4d4bad8b69bb03debd04fcc46e9dbc4e.jpg,image/jpeg;charset=UTF-8
001 - 13 - Donald Duck - Musketeer.jpg,downloaded,1,13,Donald Duck - Musketeer,full,https://api.lorcana.ravensburger.com/images/en/promo1/13_abc137ca7e46b145a8a1a1b6705c5ebffba2ff67.jpg,image/jpeg;charset=UTF-8
